step,value,metric,seed
25000,0.952475802184806,density,seed000
26000,0.937950937950938,density,seed000
27000,0.9437804338202744,density,seed000
28000,0.9310061341933852,density,seed000
29000,0.9461673306772908,density,seed000
30000,0.9296892430278884,density,seed000
1000,,density_delta,seed000
2000,-0.0154411764705882,density_delta,seed000
3000,-0.0196770785085688,density_delta,seed000
4000,0.0090765883124903,density_delta,seed000
5000,-0.0296978219812298,density_delta,seed000
6000,0.0027929182105493,density_delta,seed000
7000,0.0077585143051996,density_delta,seed000
8000,-0.001265290911908,density_delta,seed000
9000,-0.1117113738575853,density_delta,seed000
10000,-0.0126070784307402,density_delta,seed000
11000,0.0511513141861313,density_delta,seed000
12000,0.0494828456743208,density_delta,seed000
13000,0.0456257197099374,density_delta,seed000
14000,-0.0226081782772241,density_delta,seed000
15000,0.0284926470588234,density_delta,seed000
16000,0.0090073529411764,density_delta,seed000
17000,0.0114276960784314,density_delta,seed000
18000,-0.0179973367299676,density_delta,seed000
19000,-0.0160259379342287,density_delta,seed000
20000,-0.0331943801142504,density_delta,seed000
21000,0.0166536378953561,density_delta,seed000
22000,0.0280103327005072,density_delta,seed000
23000,-0.0047306339671967,density_delta,seed000
24000,-0.006615442541898,density_delta,seed000
25000,0.0014490922882489,density_delta,seed000
26000,-0.014524864233868,density_delta,seed000
27000,0.0058294958693364,density_delta,seed000
28000,-0.0127742996268892,density_delta,seed000
29000,0.0151611964839056,density_delta,seed000
30000,-0.0164780876494023,density_delta,seed000
1000,,density_rel_change,seed000
2000,-0.0157063168063823,density_rel_change,seed000
3000,-0.0203343309330279,density_rel_change,seed000
4000,0.0095744540080127,density_rel_change,seed000
5000,-0.0310297035586075,density_rel_change,seed000
6000,0.0030116242166184,density_rel_change,seed000
7000,0.0083409431646011,density_rel_change,seed000
8000,-0.0013490237123691,density_rel_change,seed000
9000,-0.1192649572507335,density_rel_change,seed000
10000,-0.0152821564756838,density_rel_change,seed000
11000,0.0629673151693503,density_rel_change,seed000
12000,0.0573050817421387,density_rel_change,seed000
13000,0.0499744332708369,density_rel_change,seed000
14000,-0.0235844088252163,density_rel_change,seed000
15000,0.0304409020981308,density_rel_change,seed000
16000,0.009338966360662,density_rel_change,seed000
17000,0.0117387883556254,density_rel_change,seed000
18000,-0.0182727718945546,density_rel_change,seed000
19000,-0.0165740563326307,density_rel_change,seed000
20000,-0.0349082643286248,density_rel_change,seed000
21000,0.0181469738641018,density_rel_change,seed000
22000,0.0299780161215108,density_rel_change,seed000
23000,-0.0049155940754155,density_rel_change,seed000
24000,-0.0069080527888764,density_rel_change,seed000
25000,0.0015237135541719,density_rel_change,seed000
26000,-0.0152495887040391,density_rel_change,seed000
27000,0.0062151394422309,density_rel_change,seed000
28000,-0.0135352452425623,density_rel_change,seed000
29000,0.016284743920663,density_rel_change,seed000
30000,-0.0174156167890587,density_rel_change,seed000
1000,0.9831188725490196,density_rolling_avg,seed000
2000,0.9753982843137254,density_rolling_avg,seed000
3000,0.966265728732438,density_rolling_avg,seed000
4000,0.9575851731768822,density_rolling_avg,seed000
5000,0.9441524024511128,density_rolling_avg,seed000
6000,0.9382096306317164,density_rolling_avg,seed000
7000,0.9318275008098892,density_rolling_avg,seed000
8000,0.934922881344503,density_rolling_avg,seed000
9000,0.8998501645230718,density_rolling_avg,seed000
10000,0.8579889167896605,density_rolling_avg,seed000
11000,0.8335998707555957,density_rolling_avg,seed000
12000,0.8629422312321663,density_rolling_avg,seed000
13000,0.9116955244222962,density_rolling_avg,seed000
14000,0.9358623201246408,density_rolling_avg,seed000
15000,0.9530323829551532,density_rolling_avg,seed000
16000,0.9579963235294118,density_rolling_avg,seed000
17000,0.9743055555555556,density_rolling_avg,seed000
18000,0.9751181263187688,density_rolling_avg,seed000
19000,0.9675862667901806,density_rolling_avg,seed000
20000,0.9451803818640316,density_rolling_avg,seed000
21000,0.9343248218129908,density_rolling_avg,seed000
22000,0.9381480186401948,density_rolling_avg,seed000
23000,0.9514591308497504,density_rolling_avg,seed000
24000,0.9570138829135546,density_rolling_avg,seed000
25000,0.9537148881732728,density_rolling_avg,seed000
26000,0.9471511500107668,density_rolling_avg,seed000
27000,0.9447357246520062,density_rolling_avg,seed000
28000,0.937579168654866,density_rolling_avg,seed000
29000,0.9403179662303168,density_rolling_avg,seed000
30000,0.9356209026328548,density_rolling_avg,seed000
1000,256.0,largest_component_size,seed000
2000,256.0,largest_component_size,seed000
3000,255.0,largest_component_size,seed000
4000,256.0,largest_component_size,seed000
5000,253.0,largest_component_size,seed000
6000,249.0,largest_component_size,seed000
7000,252.0,largest_component_size,seed000
8000,254.0,largest_component_size,seed000
9000,252.0,largest_component_size,seed000
10000,253.0,largest_component_size,seed000
11000,252.0,largest_component_size,seed000
12000,254.0,largest_component_size,seed000
13000,254.0,largest_component_size,seed000
14000,256.0,largest_component_size,seed000
15000,256.0,largest_component_size,seed000
16000,256.0,largest_component_size,seed000
17000,256.0,largest_component_size,seed000
18000,255.0,largest_component_size,seed000
19000,255.0,largest_component_size,seed000
20000,255.0,largest_component_size,seed000
21000,254.0,largest_component_size,seed000
22000,254.0,largest_component_size,seed000
23000,254.0,largest_component_size,seed000
24000,255.0,largest_component_size,seed000
25000,254.0,largest_component_size,seed000
26000,253.0,largest_component_size,seed000
27000,252.0,largest_component_size,seed000
28000,252.0,largest_component_size,seed000
29000,251.0,largest_component_size,seed000
30000,251.0,largest_component_size,seed000
1000,,largest_component_size_delta,seed000
2000,0.0,largest_component_size_delta,seed000
3000,-1.0,largest_component_size_delta,seed000
4000,1.0,largest_component_size_delta,seed000
5000,-3.0,largest_component_size_delta,seed000
6000,-4.0,largest_component_size_delta,seed000
7000,3.0,largest_component_size_delta,seed000
8000,2.0,largest_component_size_delta,seed000
9000,-2.0,largest_component_size_delta,seed000
10000,1.0,largest_component_size_delta,seed000
11000,-1.0,largest_component_size_delta,seed000
12000,2.0,largest_component_size_delta,seed000
13000,0.0,largest_component_size_delta,seed000
14000,2.0,largest_component_size_delta,seed000
15000,0.0,largest_component_size_delta,seed000
16000,0.0,largest_component_size_delta,seed000
17000,0.0,largest_component_size_delta,seed000
18000,-1.0,largest_component_size_delta,seed000
19000,0.0,largest_component_size_delta,seed000
20000,0.0,largest_component_size_delta,seed000
21000,-1.0,largest_component_size_delta,seed000
22000,0.0,largest_component_size_delta,seed000
23000,0.0,largest_component_size_delta,seed000
24000,1.0,largest_component_size_delta,seed000
25000,-1.0,largest_component_size_delta,seed000
26000,-1.0,largest_component_size_delta,seed000
27000,-1.0,largest_component_size_delta,seed000
28000,0.0,largest_component_size_delta,seed000
29000,-1.0,largest_component_size_delta,seed000
30000,0.0,largest_component_size_delta,seed000
1000,,largest_component_size_rel_change,seed000
2000,0.0,largest_component_size_rel_change,seed000
3000,-0.00390625,largest_component_size_rel_change,seed000
4000,0.0039215686274509,largest_component_size_rel_change,seed000
5000,-0.01171875,largest_component_size_rel_change,seed000
6000,-0.0158102766798419,largest_component_size_rel_change,seed000
7000,0.0120481927710842,largest_component_size_rel_change,seed000
8000,0.0079365079365079,largest_component_size_rel_change,seed000
9000,-0.0078740157480314,largest_component_size_rel_change,seed000
10000,0.0039682539682539,largest_component_size_rel_change,seed000
11000,-0.0039525691699604,largest_component_size_rel_change,seed000
12000,0.0079365079365079,largest_component_size_rel_change,seed000
13000,0.0,largest_component_size_rel_change,seed000
14000,0.0078740157480314,largest_component_size_rel_change,seed000
15000,0.0,largest_component_size_rel_change,seed000
16000,0.0,largest_component_size_rel_change,seed000
17000,0.0,largest_component_size_rel_change,seed000
18000,-0.00390625,largest_component_size_rel_change,seed000
19000,0.0,largest_component_size_rel_change,seed000
20000,0.0,largest_component_size_rel_change,seed000
21000,-0.0039215686274509,largest_component_size_rel_change,seed000
22000,0.0,largest_component_size_rel_change,seed000
23000,0.0,largest_component_size_rel_change,seed000
24000,0.0039370078740157,largest_component_size_rel_change,seed000
25000,-0.0039215686274509,largest_component_size_rel_change,seed000
26000,-0.0039370078740157,largest_component_size_rel_change,seed000
27000,-0.0039525691699604,largest_component_size_rel_change,seed000
28000,0.0,largest_component_size_rel_change,seed000
